id,time,long,lat,elev
car178,2015-03-21T12:00:54Z,-120.74314578553182,55.101817248342,1011
car178,2015-03-22T11:00:54Z,-120.7489265596157,55.10551072391491,1011
car178,2015-03-23T10:02:44Z,-120.747589256284,55.10392196922381,1011
car178,2015-03-24T09:00:48Z,-120.73887904999974,55.07576973764453,1046
car178,2015-03-25T08:01:18Z,-120.73538958581246,55.07403296872831,1046
car178,2015-03-27T06:01:21Z,-120.72993139388132,55.07663691309626,1047
car178,2015-03-29T04:01:00Z,-120.73922280820568,55.068009866518494,1046
car178,2015-03-31T02:01:30Z,-120.73304493613,55.068955634699314,1046
car178,2015-04-04T21:01:49Z,-120.7631270511832,55.08565581075002,998
car178,2015-04-05T20:01:48Z,-120.73684236618666,55.07438358134815,1046
car178,2015-04-07T18:01:55Z,-120.72386599050336,55.07860904325265,1018
